line_id,mean_margin,skewness,has_numeric,num_median_norm,numeric_count_norm,num_above,num_margin,digit_char_frec,has_digit,area_norm,norm_wid,width_rel,bbox_width_inv,bbox_w_dif,ratio_area_norm,area_inv,area_dif,aspcrat_inv_norm,perimeter_norm,perimeter_inv,perimeter_dif,diag_inv,diag_dif,diag_norm,angle_inv,compact,prev_xmin_align,prev_xmax_align,next_xmin_align,next_xmax_align,align_prev,align_next,center_aling
line_0017,0.5546875,0.8882817,1,1.25,1,1,0.693333333,0.764705882,1,0.695997114,0.87074401,0.671692607,0.960027807,0.960027807,0.695997114,0.962765835,0.962765835,0.848442361,0.87657409,0.96184362,0.96184362,0.959645591,0.959645591,0.871034495,0.965995084,0.861649117,1,0.97816055,1,0.967569771,0.989303836,0.98408618,0.837984994
line_0018,-0.552884615,-0.188368994,1,0.75,0.6,-1,-0.106666667,0.529411765,1,0.720367012,0.907944515,0.700389105,1.001042753,0.998957247,0.720367012,0.99647647,0.99647647,0.855726496,0.911879708,1.000583624,0.999416376,1.000520959,0.999479041,0.908135542,0.919643154,0.90091105,1,0.965980307,1,0.99157291,0.983323537,0.995876931,0.857265338
line_0019,1,0.174980922,1,1,0.8,1,0.293333333,0.647058824,1,0.84499652,0.897856242,0.692607004,0.989920056,0.989920056,0.84499652,1.16887522,0.83112478,0.826941598,0.910125927,0.998659243,0.998659243,0.989920593,0.989920593,0.898513985,1.102742922,0.765083225,1,0.991201074,0.998488449,0.994961555,0.995683881,0.996794437,0.852019742
line_0020,0.985,0.386651307,1,1,0.8,1,0.293333333,0.647058824,1,0.866759131,0.893442623,0.689202335,0.985053876,0.985053876,0.866759131,1.198979222,0.801020778,0.820726345,0.90745213,0.99572535,0.99572535,0.985177593,0.985177593,0.894208941,1.142251774,0.741497432,0.998419867,0.994732955,1,0.993713097,0.996649997,0.996925275,0.847766832
line_0021,0.694444444,0.669728767,1,1.25,1,1,0.693333333,0.823529412,1,0.92371706,0.885245902,0.682879377,0.976016684,0.976016684,0.92371706,1.277768554,0.722231446,0.80539119,0.903527687,0.991419152,0.991419152,0.97645876,0.97645876,0.886295181,1.239689909,0.689770463,1,0.993450079,0.997225016,0.939063579,0.996794437,0.968702704,0.84352237
line_0022,1,-0.085006434,1,0.75,0.6,-1,-0.106666667,0.647058824,1,0.901418969,0.964691047,0.744163424,1.063607925,0.936392075,0.901418969,1.246923829,0.753076171,0.840080442,0.973765166,1.068489045,0.931510955,1.063342727,0.936657273,0.965156516,1.019190945,0.820998575,0.997098307,0.936292175,1,0.934989074,0.967377827,0.967965864,0.888977684
line_0023,0.987980769,0.44095694,1,1.25,1,1,0.693333333,0.705882353,1,0.725461432,0.872005044,0.67266537,0.961418144,0.961418144,0.725461432,1.00352353,0.99647647,0.842482897,0.879528204,0.965085099,0.965085099,0.961136542,0.961136542,0.872387775,1.003908924,0.832234739,1,0.932169227,0.998720683,0.965904696,0.966663774,0.982562929,0.840588942
line_0024,1,0.027450931,1,0.75,0.6,-1,-0.106666667,0.529411765,1,0.719122302,0.920554855,0.710116732,1.014946124,0.985053876,0.719122302,0.994754675,0.994754675,0.859894626,0.923300845,1.013115763,0.986884237,1.014348341,0.985651659,0.92068614,0.893114587,0.92521856,0.998670435,0.964567164,1,0.997534479,0.981906375,0.998784086,0.867792323
line_0025,1,-0.044776346,1,0.75,0.6,-1,-0.106666667,0.588235294,1,0.703250866,0.924337957,0.713035019,1.019117136,0.980882864,0.703250866,0.972799878,0.972799878,0.864106062,0.925833285,1.015894548,0.984105452,1.018449203,0.981550797,0.92440834,0.866306795,0.951296573,1,0.997441373,0.998809255,0.990474463,0.998739298,0.995889181,0.869771227
line_0026,0.841517857,0.579729436,1,1.25,1,1,0.693333333,0.823529412,1,0.712068606,0.907313997,0.699902724,1.000347584,0.999652416,0.712068606,0.984997369,0.984997369,0.857190204,0.910815939,0.999416376,0.999416376,0.999802134,0.999802134,0.907483091,0.910327617,0.909285012,0.998767237,0.990138367,1,0.998077244,0.995744336,0.999053133,0.862852007
